Date,Origin,Destination
7/3/2004,Liège,Liège
7/4/2004,Liège,Charleroi
7/5/2004,Charleroi,Namur
7/6/2004,Waterloo,Wasquehal
7/7/2004,Cambrai,Arras
7/8/2004,Amiens,Chartres
7/9/2004,Bonneval,Angers
7/10/2004,Châteaubriant,Saint-Brieuc
7/11/2004,Lamballe,Quimper
7/13/2004,Saint-Léonard-de-Noblat,Guéret
7/14/2004,Limoges,Saint-Flour
7/15/2004,Saint-Flour,Figeac
7/16/2004,Castelsarrasin,La Mongie
7/17/2004,Lannemezan,Plateau de Beille
7/18/2004,Carcassonne,Nîmes
7/20/2004,Valréas,Villard-de-Lans
7/21/2004,Le Bourg-d'Oisans,Alpe d'Huez
7/22/2004,Le Bourg-d'Oisans,Le Grand-Bornand
7/23/2004,Annemasse,Lons-le-Saunier
7/24/2004,Besançon,Besançon
7/25/2004,Montereau-Fault-Yonne,Paris
7/5/2003,Paris,Paris
7/6/2003,Saint-Denis,Meaux
7/7/2003,La Ferté-sous-Jouarre,Sedan
7/8/2003,Charleville-Mézières,Saint-Dizier
7/9/2003,Joinville,Saint-Dizier
7/10/2003,Troyes,Nevers
7/11/2003,Nevers,Lyon
7/12/2003,Lyon,Morzine
7/13/2003,Sallanches,Alpe d'Huez
7/14/2003,Le Bourg-d'Oisans,Gap
7/15/2003,Gap,Marseille
7/17/2003,Narbonne,Toulouse
7/18/2003,Gaillac,Cap Découverte
7/19/2003,Toulouse,Ax 3 Domaines
7/20/2003,Saint-Girons,Loudenvielle
7/21/2003,Bagnères-de-Bigorre,Luz Ardiden
7/23/2003,Pau,Bayonne
7/24/2003,Dax,Bordeaux
7/25/2003,Bordeaux,Saint-Maixent-l'École
7/26/2003,Pornic,Nantes
7/27/2003,Ville-d'Avray,Paris
7/6/2002,Luxembourg City,Luxembourg City
7/7/2002,Luxembourg City,Luxembourg City
7/8/2002,Luxembourg City,Saarbrücken
7/9/2002,Metz,Reims
7/10/2002,Épernay,Château-Thierry
7/11/2002,Soissons,Rouen
7/12/2002,Forges-les-Eaux,Alençon
7/13/2002,Bagnoles-de-l'Orne,Avranches
7/14/2002,Saint-Martin-de-Landelles,Plouay
7/15/2002,Lanester,Lorient
7/17/2002,Bazas,Pau
7/18/2002,Pau,La Mongie
7/19/2002,Lannemezan,Plateau de Beille
7/20/2002,Lavelanet,Béziers
7/21/2002,Lodève,Mont Ventoux
7/23/2002,Vaison-la-Romaine,Les Deux Alpes
7/24/2002,Les Deux Alpes,La Plagne
7/25/2002,Aime,Cluses
7/26/2002,Cluses,Bourg-en-Bresse
7/27/2002,Régnié-Durette,Mâcon
7/28/2002,Melun,Paris
7/7/2001,Dunkirk,Dunkirk
7/8/2001,Saint-Omer,Boulogne-sur-Mer
7/9/2001,Calais,Antwerp
7/10/2001,Antwerp,Seraing
7/11/2001,Huy,Verdun
7/12/2001,Verdun,Bar-le-Duc
7/13/2001,Commercy,Strasbourg
7/14/2001,Strasbourg,Colmar
7/15/2001,Colmar,Pontarlier
7/16/2001,Pontarlier,Aix-les-Bains
7/17/2001,Aix-les-Bains,Alpe d'Huez
7/18/2001,Grenoble,Chamrousse
7/20/2001,Perpignan,Plateau de Bonascre
7/21/2001,Foix,Saint-Lary-Soulan Pla d'Adet
7/22/2001,Tarbes,Luz Ardiden
7/24/2001,Pau,Lavaur
7/25/2001,Castelsarrasin,Sarran
7/26/2001,Brive-la-Gaillarde,Montluçon
7/27/2001,Montluçon,Saint-Amand-Montrond
7/28/2001,Orléans,Évry
7/29/2001,Corbeil-Essonnes,Paris
7/1/2000,Futuroscope,Futuroscope
7/2/2000,Futuroscope,Loudun
7/3/2000,Loudun,Nantes
7/4/2000,Nantes,Saint-Nazaire
7/5/2000,Vannes,Vitré
7/6/2000,Vitré,Tours
7/7/2000,Tours,Limoges
7/8/2000,Limoges,Villeneuve-sur-Lot
7/9/2000,Agen,Dax
7/10/2000,Dax,Hautacam
7/11/2000,Bagnères-de-Bigorre,Revel
7/13/2000,Carpentras,Mont Ventoux
7/14/2000,Avignon,Draguignan
7/15/2000,Draguignan,Briançon
7/16/2000,Briançon,Courchevel
7/18/2000,Courchevel,Morzine
7/19/2000,Évian-les-Bains,Lausanne
7/20/2000,Lausanne,Freiburg
7/21/2000,Freiburg,Mulhouse
7/22/2000,Belfort,Troyes
7/23/2000,Paris,Paris
7/3/1999,Le Puy du Fou,Le Puy du Fou
7/4/1999,Montaigu,Challans
7/5/1999,Challans,Saint-Nazaire
7/6/1999,Nantes,Laval
7/7/1999,Laval,Blois
7/8/1999,Bonneval,Amiens
7/9/1999,Amiens,Maubeuge
7/10/1999,Avesnes-sur-Helpe,Thionville
7/11/1999,Metz,Metz
7/13/1999,Le Grand-Bornand,Sestrières
7/14/1999,Sestrières,Alpe d'Huez
7/15/1999,Le Bourg-d'Oisans,Saint-Étienne
7/16/1999,Saint-Galmier,Saint-Flour
7/17/1999,Saint-Flour,Albi
7/18/1999,Castres,Saint-Gaudens
7/20/1999,Saint-Gaudens,Piau-Engaly
7/21/1999,Lannemezan,Pau
7/22/1999,Mourenx,Bordeaux
7/23/1999,Jonzac,Futuroscope
7/24/1999,Futuroscope,Futuroscope
7/25/1999,Arpajon,Paris
7/11/1998,Dublin,Dublin
7/12/1998,Dublin,Dublin
7/13/1998,Enniscorthy,Cork
7/14/1998,Roscoff,Lorient
7/15/1998,Plouay,Cholet
7/16/1998,Cholet,Châteauroux
7/17/1998,La Châtre,Brive-la-Gaillarde
7/18/1998,Meyrignac-l'Église,Corrèze
7/19/1998,Brive-la-Gaillarde,Montauban
7/20/1998,Montauban,Pau
7/21/1998,Pau,Luchon
7/22/1998,Luchon,Plateau de Beille
7/24/1998,Tarascon-sur-Ariège,Le Cap d'Agde
7/25/1998,Frontignan la Peyrade,Carpentras
7/26/1998,Valréas,Grenoble
7/27/1998,Grenoble,Les Deux Alpes
7/28/1998,Vizille,Albertville
7/29/1998,Albertville,Aix-les-Bains
7/30/1998,Aix-les-Bains,Neuchâtel
7/31/1998,La Chaux-de-Fonds,Autun
8/1/1998,Montceau-les-Mines,Le Creusot
8/2/1998,Melun,Paris
7/5/1997,Rouen,Rouen
7/6/1997,Rouen,Forges-les-Eaux
7/7/1997,Saint-Valery-en-Caux,Vire
7/8/1997,Vire,Plumelec
7/9/1997,Plumelec,Le Puy du Fou
7/10/1997,Chantonnay,La Châtre
7/11/1997,Le Blanc,Marennes
7/12/1997,Marennes,Bordeaux
7/13/1997,Sauternes,Pau
7/14/1997,Pau,Loudenvielle
7/15/1997,Luchon,Andorra Arcalis
7/16/1997,Andorra Arcalis,Perpignan
7/18/1997,Saint-Étienne,Saint-Étienne
7/19/1997,Saint-Étienne,Alpe d'Huez
7/20/1997,Le Bourg-d'Oisans,Courchevel
7/21/1997,Courchevel,Morzine
7/22/1997,Morzine,Fribourg
7/23/1997,Fribourg,Colmar
7/24/1997,Colmar,Montbéliard
7/25/1997,Montbéliard,Dijon
7/26/1997,Disneyland Paris,Disneyland Paris
7/27/1997,Disneyland Paris,Paris
6/29/1996,'s-Hertogenbosch,'s-Hertogenbosch
6/30/1996,'s-Hertogenbosch,'s-Hertogenbosch
7/1/1996,'s-Hertogenbosch,Wasquehal
7/2/1996,Wasquehal,Nogent-sur-Oise
7/3/1996,Soissons,Lac de Madine
7/4/1996,Lac de Madine,Besançon
7/5/1996,Arc-et-Senans,Aix-les-Bains
7/6/1996,Chambéry,Les Arcs
7/7/1996,Bourg-Saint-Maurice,Val d'Isère
7/8/1996,Le Monêtier-les-Bains,Sestriere
7/9/1996,Turin,Gap
7/11/1996,Gap,Valence
7/12/1996,Valence,Le Puy-en-Velay
7/13/1996,Le Puy-en-Velay,Super Besse
7/14/1996,Besse,Tulle
7/15/1996,Brive-la-Gaillarde,Villeneuve-sur-Lot
7/16/1996,Agen,Hautacam
7/17/1996,Argelès-Gazost,Pamplona
7/18/1996,Pamplona,Hendaye
7/19/1996,Hendaye,Bordeaux
7/20/1996,Bordeaux,Saint-Émilion
7/21/1996,Palaiseau,Paris
7/1/1995,Saint-Brieuc,Saint-Brieuc
7/2/1995,Dinan,Lannion
7/3/1995,Perros-Guirec,Vitre
7/4/1995,Mayenne,Alençon
7/5/1995,Alençon,Le Havre
7/6/1995,Fécamp,Dunkirk
7/7/1995,Dunkirk,Charleroi
7/8/1995,Charleroi,Liège
7/9/1995,Huy,Seraing
7/11/1995,Le Grand-Bornand,La Plagne
7/12/1995,La Plagne,L'Alpe d'Huez
7/13/1995,Le Bourg-d'Oisans,Saint-Étienne
7/14/1995,Saint-Étienne,Mende
7/15/1995,Mende,Revel
7/16/1995,Saint-Orens-de-Gameville,Guzet-Neige
7/18/1995,Saint-Girons,Cauterets
7/19/1995,Tarbes,Pau
7/20/1995,Pau,Bordeaux
